English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Rostral plane;;Planum rostrale;;Plan rostral;;Plano rostral;;Plano rostral;
Upper lip;%Superior lip;Labium superius oris;%Labium maxillare;Lèvre supérieure;;Labio superior;;Lábio superior da boca;
Lower lip;%Inferior lip;Labium inferius oris;%Labium manidibulare;Lèvre inférieure;;Labio inferior;;O lábio inferior da boca;
Oral opening;%Oral fissure;Rima oris;;Fente orale;;Abertura oral;;Orifício na boca;
Oral cavity;;Cavitas oris;%Cavum oris;Cavité orale;;Cavidad oral;;Cavidade oral;
Tongue;;Lingua;;Langue;;Lengua;;Linguagem;
Cheek;;Bucca;%Mala;Joue;;Buca;;Boca;
Chin;%Genion;Mentum;%Genion;Menton;%Genion;Mentón;;Queixo;
Mentolabial sulcus;;Sulcus mentolabialis;;Sillon mentolabial;;Surco mentonlabial;;Sulco mentolabial;
Neck;;Collum;;Cou;;Cuello;;Pescoço;
Nucha;;Nucha;;Nuque;;Nuca;;Pescoço;
Juba;;Iuba;;Crinière;;Juba;;Juba;
Pharynx (Body Part);;Pharynx (Pars Corporis);;Pharynx (Partie du corps);;Faringe (Parte del cuerpo);;Faringe (Parte do Corpo);
Back;%Dorsal trunk%Posterior trunk;Dorsum;%Pars posterior trunci%Dorsum trunci%Pars dorsalis trunci;Dos;;Dorso;;Voltar;
Vertebral axis [Vertebral spine];;Axis vertebralis [spina];;Axe vertébral [Colonne vertébrale];%Colonne vertébrale%Colonne;Eje vertebral [espinal];;Eixo vertebral [coluna vertebral];
Bones of spine;;Ossa columnae vertebralis;;Os de l'axe vertébral;%Os de la colonne vertébrale;Huesos de la columna vertebral;;Ossos da coluna vertebral;
Loins;;Lumbi;;Lombes;;Lumbo;;Cintura;
Chest;;Pectus;;Cage thoracique;;Pecho;;Peito;
Thoracic mamma;;Mamma thoracica;;Mamelle thoracique;;Mamá torácica;;Mama torácica;
Abdomen;;Abdomen;;Abdomen;;Abdomen;;Abdômen;
Abdominal cavity;;Cavitas abdominis;;Cavité abdominale;;Cavidad abdominal;;Cavidade abdominal;
Epigastric fossa;;Fossa epigastrica;%Scrobiculus cordis;Fosse épigastrique;;Fosa epigástrica;;Fossa epigástrica;
Umbilicus;;Umbilicus;;Ombilic;%Nombril;Ombligo;;Umbigo;
Flank;;Latus;;Flanc;;Flanco;;Lado;
Side Fold;;Plica lateris;;Pli latéral;;Pliegue lateral;;Dobra lateral;
Inguinal fold;;Plica inguinalis;;Pli inguinal;%Pli de l'aine%Aine;Pliegue inguinal;;Prega inguinal;
Abdominal mamma;;Mamma abdominalis;;Mamelle abdominale;;Mama abdominal;;Mama abdominal;
Inguinal mamma;;Mamma inguinalis;;Mamelle inguinale;;Mama inguinal;;Mama inguinal;
Udder (Body parts);;Uber (Pars corporis);;Pis (Partie du corps);;Senos;;Seio (Parte do Corpo);
Buttocks;;Nates [Clunes];;Fesses;;Nalgas [Clunas];;Pernas [Pistas];
Crena ani;;Crena ani;;Crena ani;;Crena ani;;Pelos anais;
Vulva;%Feminine pudendum;Vulva;%Pudendum femininum%Pudendum muliebre;Vulve;%Pudendum féminine;Vulva;;Vulva;
Root of the tail;;Radix caudae;;Racine de la queue;;Raíz de la cola;;A raiz da cauda;
Thoracic limb;;Membrum thoracicum;;Membre thoracique;%Patte avant%Patte antérieure;Miembro torácico;;Membro torácico;
Axilla;;Axilla;;Aisselle;%Fosse axillaire;Axila;;Axila;
Axillary fold;;Plica axillaris;;Pli axillaire;;Pliegue axilar;;Prega axilar;
Arm;;Brachium;;Bras;;Brazo;;Braço;
Cranial surface of arm;;Facies cranialis brachii;;Face crâniale du bras;%Surface crâniale du bras;Cara craneal del brazo;;Face cranial do braço;
Caudal surface of arm;;Facies caudalis brachii;;Face caudale du bras;%Surface caudale du bras;Cara caudal del brazo;;Face caudal do braço;
Lateral surface of arm;;Facies lateralis brachii;;Face latérale du bras;%Surface latérale du bras;Cara lateral del brazo;;Superfície lateral do braço;
Medial surface of arm;;Facies medialis brachii;;Face médiale du bras;%Surface médiale du bras;Cara medial del brazo;;Aspecto medial do braço;
Lateral bicipital groove;;Sulcus bicipitalis lateralis;%Sulcus bicipitalis radialis;Sillon bicipital latéral;%Sillon bicipital radial%Sillon latéral du biceps;Surco bicipital lateral;;Sulco bicipital lateral;
Medial bicipital groove;;Sulcus bicipitalis medialis;%Sulcus bicipitalis ulnaris;Sillon bicipital médial;%Sillon bicipital ulnaire%Sillon médial du biceps;Surco bicipital medial;;Sulco bicipital medial;
Elbow;;Cubitus;;Coude;;Codo;;Cotovelo;
Forearm;;Antebrachium;%Antibrachium;Avant-bras;;Antebrazo;;Antebraço;
Cranial surface of forearm;;Facies cranialis antebrachii;;Face crâniale de l'avant-bras;%Surface crâniale de l'avant-bras;Cara craneal del antebrazo;;Face cranial do antebraço;
Caudal face of forearm;;Facies caudalis antebrachii;;Face caudale de l'avant-bras;%Surface caudale de l'avant-bras;Cara caudal del antebrazo;;Face caudal do antebraço;
Lateral face of forearm;;Facies lateralis antebrachii;;Face latérale de l'avant-bras;%Surface latérale de l'avant-bras;Cara lateral del antebrazo;;Superfície lateral do antebraço;
Medial aspect of forearm;;Facies medialis antebrachii;;Face médiale de l'avant-bras;%Surface médiale de l'avant-bras;Cara medial del antebrazo;;Superfície medial do antebraço;
Hand;;Manus;;Main;;Mano;;Mão;
Dorsum of hand;%Dorsal region of hand;Dorsum manus;%Regio dorsalis manus;Dos de la main;%Région dorsale de la main;Dorso de la mano;;Dorso da mão;
Palm of the hand;;Palma manus;;Paume de la main;;Palma de la mano;;Palma da mão;
Wrist;;Carpus;;Poignet;;Carpo;;Carpa;
Dorsal surface of carpus;;Facies dorsalis carpi;;Face dorsale du carpe;%Surface dorsale du carpe;Cara dorsal del carpo;;Superfície dorsal do punho;
Palmar surface of carpus;;Facies palmaris carpi;;Face palmaire du carpe;%Surface palmaire du carpe;Cara palmar del carpo;;Superfície palmar do pulso;
Lateral surface of carpus;;Facies lateralis carpi;;Face latérale du carpe;%Surface latérale du carpe;Cara lateral del carpo;;Face lateral do pulso;
Medial surface of carpus;;Facies medialis carpi;;Face médiale du carpe;%Surface médiale du carpe;Cara medial del carpo;;Face medial do punho;
Carpal pad (Body part);;Torus carpeus (Pars corporis);;Coussinet carpien (Partie du corps);;Torus carpeus de la mano;;Síndrome do túnel do carpo (Parte do corpo);
Metacarpus;;Metacarpus;;Métacarpe;;Metacarpo;;Metacarpo;
Dorsal surface of metacarpus;;Facies dorsalis metacarpi;;Face dorsale du métacarpe;%Surface dorsale du métacarpe;Cara dorsal del metacarpo;;Superfície dorsal do metacarpo;
Palmar surface of metacarpus;;Facies palmaris metacarpi;;Face palmaire du métacarpe;%Surface palmaire du métacarpe;Cara palmar del metacarpo;;Superfície palmar do metacarpo;
Lateral surface of metacarpus;;Facies lateralis metacarpi;;Face latérale du métacarpe;%Surface latérale du métacarpe;Cara lateral del metacarpo;;Face lateral do metacarpo;
Medial surface of metacarpus;;Facies medialis metacarpi;;Face médiale du métacarpe;%Surface médiale du métacarpe;Cara medial del metacarpo;;Face medial do metacarpo;
Metacarpal pad;;Torus metacarpeus;;Coussinet métacarpien;;Torus metacarpiano;;Toro metacarpo;
Metacarpal spur;;Calcar metacarpi;;Ergot métacarpien;%Ergot;Espolón metacarpiano;;Panturrilha do metacarpo;
Digits of hand;%Fingers;Digiti manus;;Doigts de la main;;Dedos de la mano;;Dedos da mão;
Finger I of hand;%Thumb;Digitus I [Pollex];;Doigt I [pouce];%Premier doigt de la main;Dedo I [Pulgar];;Dedo 1 [Polegar];
Finger I (Dug);;Digitus I (Ergot);;Doigt I (Ergot);%Premier doigt de la main;Dedo 1 (Ergot);;Dedo I (Ergot);
Finger of the hand;;Digitus manus;;Doigt de la main;%Doigt 3%Troisième doigt de la main;Dedo de la mano;;Dedo da mão;
Finger II of hand;%Second finger%Finger 2 of hand;Digitus II manus;;Doigt II de la main;%Doigt 2%Deuxième doigt de la main;Dedo II de la mano;;Segundo dedo da mão;
Finger III of hand;%Third finger%Finger 3 of hand;Digitus III manus;;Doigt III de la main;%Doigt 3%Troisième doigt de la main;Dedo III de la mano;;Terceiro dedo da mão;
Finger IV of hand;%Fourth finger%Finger 4 of hand;Digitus IV manus;;Doigt IV de la main;%Doigt 4%Quatrième doigt de la main;Dedo IV de la mano;;Dedo 4 da mão;
Finger V of hand;%Fifth finger%Finger 5 of hand;Digitus V manus;;Doigt V de la main;Doigt 5%Cinquième doigt de la main;Dedo V de la mano;;Dedo 5 da mão;
Dorsal surface of finger;;Facies dorsalis digiti;;Face dorsale du doigt;%Surface dorsale du doigt;Cara dorsal del dedo;;Superfície dorsal do dedo;
Palmar surface of finger;;Facies palmaris digiti;;Face palmaire du doigt;%Surface palmaire du doigt;Cara palmar del dedo;;Superfície palmar do dedo;
Solar surface of finger;;Facies solearis digiti;;Face solaire du doigt;%Surface solaire du doigt;Cara solearis del dedo;;A sola do pé;
Lateral surface of finger;;Facies lateralis digiti;;Face latérale du doigt;%Surface latérale du doigt;Cara lateral del dedo;;Superfície lateral do dedo;
Medial surface of finger;;Facies medialis digiti;;Face médiale du doigt;%Surface médiale du doigt;Cara medial del dedo;;Superfície medial do dedo;
Axial surface of finger;;Facies axialis digiti;;Face axiale du doigt;%Surface axiale du doigt;Cara axial del dedo;;Face axial do dedo;
Abaxial surface of finger;;Facies abaxialis digiti;;Face abaxiale du doigt;%Surface abaxiale du doigt;Cara abaxial del dedo;;Superfície abaxial do dedo;
Paradigitus;;Paradigitus;;Paradigitus;;Paradigitus;;Paradigit;
Para-ungula;;Para-ungula;;Para-ungula;;Paraungula;;Para-cascos;
Hoof;;Ungula;;Sabot;;Casco;;Casco;
Claw;;Unguicula;;Griffe;;Garra;;Unha;
Pelvic limb;;Membrum pelvinum;;Membre pelvien;;Miembro pélvico;;ÓRgão pélvico;
Thigh;;Femur;;Cuisse;;Muslo;;Fêmur;
Cranial surface of thigh;;Facies cranialis femoris;;Face crâniale de la cuisse;%Surface crâniale de la cuisse;Cara craneal del muslo;;Face cranial do fêmur;
Caudal surface of thigh;;Facies caudalis femoris;;Face caudale de la cuisse;%Surface caudale de la cuisse;Cara caudal del muslo;;Face caudal do fêmur;
Lateral surface of thigh;;Facies lateralis femoris;;Face latérale de la cuisse;%Surface latérale de la cuisse;Cara lateral del muslo;;Superfície lateral do fêmur;
Medial surface of thigh;;Facies medialis femoris;;Face médiale de la cuisse;%Surface médiale de la cuisse;Cara medial del muslo;;Aspecto medial do fêmur;
Knee;;Genu;;Genou;;Rodilla;;Joelho;
Posterior part of knee;;Poples;;Partie postérieure du genou;;Parte posterior de la rodilla;;Pessoas;
Leg;;Crus;;Jambe;;Pierna;;Perna;
Cranial surface of leg;;Facies cranialis cruris;;Face crâniale de la jambe;%Surface crâniale de la jambe;Cara craneal de la pierna;;Face cranial da perna;
Caudal surface of leg;;Facies caudalis cruris;;Face caudale de la jambe;%Surface caudale de la jambe;Cara caudal de la pierna;;Face caudal da perna;
Lateral surface of leg;;Facies lateralis cruris;;Face latérale de la jambe;%Surface latérale de la jambe;Cara lateral de la pierna;;Superfície lateral da perna;
Medial surface of leg;;Facies medialis cruris;;Face médiale de la jambe;%Surface médiale de la jambe;Cara medial de la pierna;;Aspecto medial da perna;
Calf;;Sura;;Mollet;;Pantorrilla;;Sura;
Lateral malleolus;;Malleolus lateralis;%Malleolus fibulae;Malléole latérale;;Maléolo lateral;;Maléolo lateral;
Medial Malleolus (Body Part);;Malleolus Medialis (Pars Corporis);;Malléole médiale (Partie du corps);;Maléolo medial (parte del cuerpo);;Maléolo medial (Parte do corpo);
Foot;;Pes;;Pied;;Pie;;Pé;
Dorsum of foot;%Dorsal region of foot%Superior region of foot;Dorsum pedis;%Regio dorsalis pedis%Regio superior pedis;Dos du pied;%Région dorsale du pied%Région supérieure du pied;Dorso del pie;;Parte posterior do pé;
Sole of the foot;;Planta pedis;;Plante du pied;;Planta del pie;;Sola do pé;
Tarsus;;Tarsus;;Tarse;;Tarso;;Tarso;
Dorsal surface of tarsus;;Facies dorsalis tarsi;;Face dorsale du tarse;%Surface dorsale du tarse;Cara dorsal del tarso;;Superfície dorsal do tornozelo;
Plantar surface of tarsus;;Facies plantaris tarsi;;Face plantaire du tarse;%Surface plantaire du tarse;Cara plantar del tarso;;Superfície plantar do tornozelo;
Lateral surface of tarsus;;Facies lateralis tarsi;;Face latérale du tarse;%Surface latérale du tarse;Cara lateral del tarso;;Face lateral do tornozelo;
Medial surface of tarsus;;Facies medialis tarsi;;Face médiale du tarse;%Surface médiale du tarse;Cara medial del tarso;;Face medial do tornozelo;
Heel;;Calx;;Talon;;Talón;;Lima;
Metatarsus;;Metatarsus;;Métatarse;;Metatarso;;Metatarso;
Dorsal suface of metatarsus;;Facies dorsalis metatarsi;;Face dorsale du métatarse;%Surface dorsale du métatarse;Cara dorsal del metatarso;;Superfície dorsal do metatarso;
Plantar surface of metatarsus;;Facies plantaris metatarsi;;Face plantaire du métatarse;%Surface plantaire du métatarse;Cara plantar del metatarso;;Superfície plantar do metatarso;
Lateral surface of metatarsus;;Facies lateralis metatarsi;;Face latérale du métatarse;%Surface latérale du métatarse;Cara lateral del metatarso;;Face lateral do metatarso;
Medial surface of metatarsus;;Facies medialis metatarsi;;Face médiale du métatarse;%Surface médiale du métatarse;Cara medial del metatarso;;Face medial do metatarso;
Metatarsal spur;;Calcar metatarsi;;Ergot métatarsien;%Éperon métatarsien;Espolón metatarsiano;;Calcâneo metatarsal;
Toes;%Toes;Digiti pedis;;Doigts de pied;%Doigts de pied;Dedos del pie;;Dedos do pé;
Toe I [Hallux];;Digitus I [Hallux];;Doigt de pied I [Hallux];%Premier orteil%Premier doigt de pied;Dedo I [Hallux];;Dedo 1 [Hallux];
Toe;;Digitus pedis;;Doigt de pied;%Doigt de pied;Dedo del pie;;Dedo do pé;
Toes II-V;;Digiti II-V pedis;;Doigts de pied II-V;%Doigts de pied II-V;Dedos II-V;;Dedos 2-5;
Toe II;;Digitus II pedis;;Doigt de pied II;%Orteil II%Deuxième doigt de pied;Dedo II del pie;;Dedo do pé 2;
Toe III;;Digitus III pedis;;Doigt de pied III;%Troisième orteil%Troisième doigt de pied;Dedo III del pie;;Terceiro dedo do pé;
Toe III and IV;;Digitus III et IV pedis;;Doigts III et IV du pied;%Troisième et quatrième orteils%Troisième et quatrième doigts de pied;Dedos III y IV del pie;;Dedos 3 e 4;
Toe IV;;Digitus IV pedis;;Doigt de pied IV;%Quatrième orteil%Quatrième doigt de pied;Dedo IV del pie;;Dedo do pé 4;
Toe V;;Digitus V pedis;;Doigt de pied V;%Cinquième orteil%Cinquième doigt de pied;Dedo V del pie;;Quinto dedo do pé;
Plantar surface of fingers II-V;;Facies plantaris digiti II-V;;Face plantaire des doigts de pied II-V;%Surface plantaire des doigts II-V;Cara plantar de los dedos II-V;;Superfície plantar dos dedos II-V;
Paradigitus of fingers II-V;;Paradigitus digiti II-V;;Paradigitus des doigts de pied II-V;;Paradigitus de los dedos II-V;;Paradigito dos dígitos II-V;
(Para-unguicula);;(Para-unguicula);;(Para-unguicule);%A côté de l’ongle;(Paraunguicula);;(Para-unguicula);
Regions of body;;Regiones corporis;;Régions du corps;%Corps;Regiones del cuerpo;;Regiões do corpo;
Median dorsal line;;Linea mediana dorsalis;;Ligne dorsale médiane;;Línea mediana dorsal;;Linha média dorsal;
Median ventral line;;Linea mediana ventralis;;Ligne ventrale médiane;;Línea mediana ventral;;Linha mediana ventral;
Tricipital margin;;Margo tricipitalis;;Bord tricipital;;Margen tricipital;;Margem do tríceps;
Median plane;%Median sagittal plane%Midsagittal plane;Planum medianum;;Plan médian;;Plano mediano;;Plano mediano;
Sagittal planes [paramedian];;Plana sagittalia [paramediana];;Plans sagittaux;;Planos sagitales (paramedianos);;Plano sagital [paramediano];
Transversal planes;;Plana transversalia;;Plans transversaux;;Planos transversales;;Planos transversais;
Dorsal planes;;Plana dorsalia;;Plans dorsaux;;Planos dorsales;;Planos dorsais;
Regions of head;%Head region;Regiones capitis;%Regio capitalis;Régions de la tête;%Tête;Regiones de la cabeza;;Regiões da cabeça;
Regions of the skull;;Regiones cranii;;Régions du crâne;;Regiones del cráneo;;Regiões do crânio;
Frontal region;;Regio frontalis;;Région frontale;%Front;Región frontal;;Região frontal;
Parietal region;;Regio parietalis;;Région pariétale;;Región parietal;;Região parietal;
Occipital region;;Regio occipitalis;;Région occipitale;;Región occipital;;Região occipital;
Temporal region;;Regio temporalis;;Région temporale;;Región temporal;;Região temporal;
Supra-orbital fossa;;Fossa supra-orbitalis;;Fosse supra-orbitaire;;Fosa supra-orbitaria;;Fossa supraorbital;
Auricular region;;Regio auricularis;;Région auriculaire;%Oreille;Región auricular;;Região auricular;
Horned region;;Regio cornualis;;Région cornuale;%Cornes;Región cornual;;Região da Cornualha;
Regions of face;%Facial region%Face;Regiones faciei;%Regio facialis;Régions de la face;%Région faciale%Visage%Face%Gueule;Regiones de la cara;;ÁReas do rosto;
Nasal region;%Nose;Regio nasalis;;Région nasale;%Nez%Museau;Región nasal;;Região nasal;
Dorsal region of the nose;;Regio dorsalis nasi;;Région nasale dorsale;%Région dorsale du nez;Región dorsal de la nariz;;Região dorsal do nariz;
Lateral region of ​​the nose;;Regio lateralis nasi;;Région nasale latérale;%Région latérale du nez;Región lateral de la nariz;;Região lateral do nariz;
Region of ​​the nostril;;Regio naris;;Région de la narine;%Narine;Región de la nariz;;ÁRea do nariz;
Oral region;;Regio oralis;;Région orale;%Bouche;Región oral;;Região oral;
Upper labial region;;Regio labialis superior;;Région labiale supérieure;%Lèvre supérieure;Región labial superior;;Região labial superior;
Lower labial region;;Regio labialis inferior;;Région labiale inférieure;%Lèvre inférieure;Región labial inferior;;Região labial inferior;
Mental region;;Regio mentalis;;Région mentonnière;%Menton;Región mental;;Região mental;
Orbital region;;Regio orbitalis;;Région orbitaire;%Oeil;Región orbital;;Região orbital;
Upper eyelid region;;Regio palpebralis superior;;Région palpébrale supérieure;%Région de la paupière supérieure;Región del párpado superior;;Região da pálpebra superior;
Lower eyelid region;;Regio palpebralis inferior;;Région palpébrale inférieure;%Région de la paupière inférieure;Región del párpado inferior;;Região da pálpebra inferior;
Zygomatic region;;Regio zygomatica;;Région zygomatique;;Región cigomática;;Região zigomática;
Infra-orbital region;%infra-orbital region;Regio infra-orbitalis;;Région infra-orbitaire;;Región infra-orbitaria;;Região infraorbital;
Temporomandibular joint area;;Regio articulationis temporomandibularis;;Région de l'articulation temporomandibulaire;;Región de la articulación temporomandibular;;Região da articulação temporomandibular;
Masseteric region;;Regio masseterica;;Région massétérique;;Región masetérica;;Região Massetérica;
Buccal region;%Mouth;Regio buccalis;;Région buccale;%Bouche%Lèvres;Región bucal;;Região bucal;
Maxillary area;;Regio maxillaris;;Région maxillaire;;Región maxilar;;Região maxilar;
Mandibular region;;Regio mandibularis;;Région mandibulaire;%Mâchoire;Región mandibular;;Região mandibular;
Intermandibular region;;Regio intermandibularis;;Région intermandibulaire;;Región intermandibular;;Região intermandibular;
Subhyoid region;;Regio subhyoidea;;Région infrahyoïde;;Región subhioidea;;Região sub-hióidea;
Regions of neck;%Cervical region;Regiones colli;%Regio cervicalis;Régions du cou;%Régions cervicales;Regiones del cuello;;Região do pescoço;
Dorsal margin of neck;;Margo colli dorsalis;;Bord dorsal du cou;%Bord cervical dorsal;Margen dorsal del cuello;;Margem dorsal do pescoço;
Ventral margin of neck;;Margo colli ventralis;;Bord ventral du cou;%Bord cervical ventral;Margo colli ventralis;;Margem ventral do pescoço;
Dorsal region of the neck;;Regio colli dorsalis;;Région dorsale du cou;%Région cervicale dorsale;Región dorsal del cuello;;Região dorsal do pescoço;
Lateral neck region;;Regio colli lateralis;;Région latérale du cou;%Région cervicale latérale;Región lateral del cuello;;Região lateral do pescoço;
Parotid region;;Regio parotidea;;Région parotidienne;;Región parotídea;;Região parotídea;
Retromandibular fossa;;Fossa retromandibularis;;Fosse rétromandibulaire;;Fosa retromandibular;;Fossa retromandibular;
Retro-auricular region;;Regio retro-auricularis;;Région rétro-auriculaire;;Región retroauricular;;Região retroauricular;
Pharyngeal Region;;Regio pharyngea;;Région pharyngienne;;Región faríngea;;Região faríngea;
Brachiocephalic region;;Regio brachiocephalica;;Région brachiocéphalique;;Región braquiocefálica;;Região braquiocefálica;
Jugular groove;;Sulcus jugularis;;Sillon jugulaire;;Surco yugular;;Sulco jugular;
Jugular fossa;;Fossa jugularis;;Fosse jugulaire;;Fosa yugular;;Fossa jugular;
Sternocephalic Region;;Regio sternocephalica;;Région sternocéphalique;;Región esternocefálica;;Região esternocefálica;
Prescapular Region;;Regio prescapularis;;Région préscapulaire;;Región prescapular;;Região pré-escapular;
Ventral cervical region;;Regio colli ventralis;;Région ventrale du cou;%Région cervicale ventrale;Region cervical ventral;;Região ventral do pescoço;
Laryngeal region;;Regio laryngea;;Région laryngée;;Región laríngea;;Região laríngea;
Tracheal region;;Regio trachealis;;Région trachéale;;Región traqueal;;Região traqueal;
Pectoral regions;;Regiones pectoris;;Régions pectorales;;Regiones pectorales;;Regiões do tórax;
Presternal region;;Regio presternalis;%Regio praesternalis;Région présternale;;Región preesternal;;Região pré-esternal;
Median pectoral groove;;Sulcus pectoralis medianus;;Sillon pectoral médian;;Surco pectoral mediano;;Sulco peitoral mediano;
Lateral pectoral groove;;Sulcus pectoralis lateralis;;Sillon pectoral latéral;;Surco pectoral lateral;;Sulco peitoral lateral;
Sternal region;;Regio sternalis;;Région sternale;;Región esternal;;Região esternal;
Thoracic mammary region;;Regio mammaria thoracica;;Région mammaire thoracique;;Región mamaria torácica;;Região mamária torácica;
Scapular region;;Regio scapularis;;Région scapulaire;;Región escapular;;Região escapular;
Region of scapular cartilage;;Regio cartilaginis scapulae;;Région du cartilage scapulaire;%Région cartilagineuse de l'omoplate%Région du cartilage de l'omoplate%Région du cartilage de la scapula;Región del cartílago de la escápula;;Região da cartilagem escapular;
Supraspinous region;;Regio supraspinata;;Région supra-épineuse;;Región supraespinosa;;Região supraespinhal;
Infraspinous region;;Regio infraspinata;;Région infra-épineuse;;Región infraespinosa;;Região infraespinhal;
Acromial region;;Regio acromialis;;Région acromiale;;Región acromial;;Região acromial;
Costal region;;Regio costalis;;Région costale;;Región costal;;Região das costelas;
Costal arch (Regions);;Arcus Littoralis (Regiones);;Arc costal (Régions);;Arco litoral (regiones);;Arco Litoral (Regiões);
Cardiac region;;Regio cardiaca;;Région cardiaque;;Región cardiaca;;Região cardíaca;
Regions of abdomen;%Abdominal region;Regiones abdominis;%Regio abdominalis;Régions de l'abdomen;%Région abdominale%Régions abdominales%Abdomen%Ventre;Regiones abdominales;;Regiões abdominais;
Cranial abdominal region;;Regio abdominis cranialis;;Région crâniale de l'abdomen;%Région abdominale crâniale;Región craneal del abdomen;;Região cranial abdominal;
Hypochondriac region;;Regio hypochondriaca;%Hypochondrium;Région hypochondrale;%Hypochondre;Region hipocondriaca;;Região hipocondríaca;
Xiphoid region;;Regio xiphoidea;;Région xiphoïdienne;%Région xiphoïde%Région xyphoïdienne;Región xifoidea;;Região xifoide;
Middle abdominal region;;Regio abdominis media;;Région abdominale moyenne;%Ventre;Región abdominal media;;Região abdominal média;
Lateral abdominal region;;Regio abdominis lateralis;;Région abdominale latérale;%Flanc;Región abdominal lateral;;Região abdominal lateral;
Paralumbar fossa;;Fossa paralumbalis;;Fosse paralombale;%Fosse paralombaire;Región paralumbar;;Fossa paralombar;
